bare	accented	translations_en	translations_de
вместе	вме'сте	together	zusammen, gemeinsam, zugleich, gleichzeitig
таки	таки'	indeed, after all	doch, dennoch
чуть	чуть	nearly; a little	ein bisschen (kaum), ein wenig (etwas)
сколько	ско'лько	how much, how many	wieviel, wie viel
хоть	хоть	though, even; you may, might as well	obwohl, auch wenn, wenn auch, trotzdem, zwar; wenigstens, zumindest; selbst wenn, sogar (dann)
зачем	зачем	what for, why	wozu, zu welchem Zweck; warum, weshalb, weswegen
словно	сло'вно	as if, like	als ob, als; wie, ebenso wie, gleichsam
наконец	наконе'ц	finally	endlich
назад	наза'д	ago; back, backwards	vor; zurück, rückwärts
быстро	бы'стро	fast, quickly, rapidly, with speed	schnell
давно	давно'	long ago, for a long time	längst, vor langer Zeit; seit langem, lange
прямо	пря'мо	straight, frankly, openly, bluntly, real, really, exactly, downright	gerade, aufrecht, geradeaus, unmittelbar; direkt, offen, aufrichtig
долго	до'лго	a long time	lange
нельзя	нельзя'	can't	man darf nicht, man soll nicht, man kann nicht, es ist unmöglich, es ist verboten
оно	оно'	it, he, she	es
кроме	кро'ме	except, besides	außer, ausgenommen
ж	ж	then	denn; dagegen
совершенно	соверше'нно	totally	vollkommen, völlig, ganz, komplett
поэтому	поэ'тому	so, therefore, that is why	darum; deshalb, deswegen
точно	то'чно	exact	genau, exakt, präzis, wie; pünktlich; als (ob)
среди	среди'	among, amongst, amidst, in the middle	(mitten) unter, mitten in/am, inmitten (zwischen)
также	та'кже	also, as well, too, either	auch, ebenso, ebenfalls
ко	ко	to, towards; by, for	zu; nach (sich anschließen an)
вокруг	вокру'г	around	ringsum, ringsherum, ringsumher, um herum
иногда	иногда'	sometimes, at times	manchmal, ab und zu
затем	зате'м	then, after that, thereupon, upon which, subsequently, for that reason	danach, anschließend, darauf, dann
оба	о'ба	both	beide, die beiden
откуда	отку'да	from where	woher
четыре	четы'ре	four, 4	vier, 4
особенно	осо'бенно	especially, particularly, unusually, more than usual	besonders; ausgefallen, eigenartig, eigentümlich, ungewöhnlich, speziell
вроде	вро'де	sort of	in der Art von, ähnlich, so wie
например	наприме'р	for example, for instance	zum Beispiel
туда	туда'	there	dorthin, dahin
действительно	действи'тельно	really, actually	wirklich, tatsächlich, in der Tat, wahrhaftig
мало	ма'ло	little, few, not enough	wenig, nicht viel, nur wenige, nicht viele
равно	равно'	is indifferent, alike, in like manner, nor; equally	gleich
сюда	сюда'	here	hierher
слишком	сли'шком	too (much)	zu (sehr), viel zu, allzu, allzusehr
чтоб	чтоб	to	damit; um zu
десять	де'сять	ten, 10	zehn, 10
двадцать	два'дцать	twenty	zwanzig
видно	ви'дно	evidently, obviously, apparently, probably, one can see	ist zu sehen, man kann sehen, es ist klar, man sieht es, wie es scheint
против	про'тив	against, opposite, facing, contrary to, to, as against	gegen, dagegen, entgegen, kontra, wider; gegenüber (напротив)
немного	немно'го	a little, some, somewhat, slightly	ein wenig, ein bißchen, etwas, wenig, nicht viel; wenige, nur wenige, nicht sehr viele
разве	ра'зве	perhaps, unless; indeed, really	denn, etwa, wirklich
впрочем	впро'чем	however	übrigens, allerdings, aber
тихо	ти'хо	quietly, it is calm, it is quiet, softly, gently, faintly, silently; calmly, peacefully, slowly	leise; still / ruhig; langsam
наверное	наве'рное	Probably; Maybe	wahrscheinlich, wohl
либо	ли'бо	or	entweder; oder
домой	домо'й	homeward, to ones home	nach Hause
ладно	ла'дно	well, all right, okay	gut, einverstanden
часто	ча'сто	often, frequently; closely together, thickly	oft, häufig; dicht
сначала	снача'ла	firstly, at first, all over again, afresh	anfangs, zu Beginn; zuerst, zunächst, erstmal
вперёд	вперёд	forward, ahead, in the future, henceforward, henceforth, in advance; to the front	vorwärts; (im) voraus, in der Zukunft; voran, nach vorn
вполне	вполне'	quite, fully, entirely, completely	durchaus, völlig, vollkommen
никак	ника'к	in no way	auf keinen Fall
едва	едва'	hardly, only just, scarcely, just, barely	kaum, nur mit Mühe
возле	во'зле	near, beside, by	daneben, nebenan; bei, an, neben
довольно	дово'льно	quite, rather, pretty, fairly	ziemlich, ganz (gut), recht (gut); genug (ausreichend, zufrieden)
медленно	ме'дленно	slowly	langsam
ясно	я'сно	clearly, evidently, clear	klar, deutlich, verständlich, es ist klar, es ist offenbar
вчера	вчера'	yesterday	gestern
далеко	далеко'	far, it is far, it is a long way, far off, a long way off, a great distance away	weit
около	о'коло	by, near, around, about	neben, in der Nähe, an; ungefähr, cirka, etwa, gegen
завтра	за'втра	tomorrow	morgen
плохо	пло'хо	it is bad	schlecht, schlimm, übel
обычно	обы'чно	usually, generally, commonly, as a rule	gewöhnlich; normalerweise
иначе	ина'че	otherwise; differently	anders, andernfalls; sonst, ansonsten
скоро	ско'ро	quickly, fast, soon	schnell, rasch; bald
прежде	пре'жде	before, first, formerly, in former times	vor, ehe; zuerst, bevor, zuvor
однажды	одна'жды	one day	einmal, einst; eines Tages
сквозь	сквозь	through	durch
мимо	ми'мо	past, by	vorbei, vorüber
возможно	возмо'жно	it is possible, it may be, it is not unlikely, possibly, perhaps	möglich; vielleicht, eventuell
кстати	кста'ти	by the way, incidentally, besides, in fact	übrigens, apropos, nebenbei gesagt, bei dieser Gelegenheit; gerade recht, zur rechten Zeit, gelegen, angebracht
вместо	вме'сто	instead of	statt, anstatt; anstelle, an Stelle
трудно	тру'дно	difficult	es ist schwer, jemand hat es schwer, es fällt jemandem schwer
менее	ме'нее	less	weniger
легко	легко'	easy, easily, lightly, slightly	leicht, mit Leichtigkeit, mühelos, es ist leicht es ist leicht
сто	сто	hundred	hundert
вниз	вниз	down, downwards	nach unten, hinunter-, hinab-, herunter-, herab-
вовсе	во'все	At all, quite	überhaupt, ganz und gar
двое	дво'е	two	zwei; zu zweit
спокойно	споко'йно	quietly, calmly	ruhig, still, gelassen; friedlich
достаточно	доста'точно	it is enough, sufficiently, enough	genug (ausreichend, genügend); ziemlich
столько	сто'лько	so much, so many	so viel
молча	мо'лча	silently, tacitly, without a word	schweigend, wortlos, stumm
видимо	ви'димо	apparently, evidently	scheinbar, anscheinend, augenscheinlich
сорок	со'рок	forty	vierzig
поскольку	поско'льку	since, inasmuch as, as	da, insofern
шесть	шесть	six, 6	sechs, 6
неожиданно	неожи'данно	unexpectedly, suddenly	wider Erwarten; unvermutet
вон	вон	out, there, over there	raus, verschwinde; dort, da; Won (Währungseinheit in Korea)
спасибо	спаси'бо	thanks, thank you	danke
впервые	впервы'е	for the first time, first	zum ersten Mal, erstmalig
сильно	си'льно	strongly, violently, heavily, greatly, badly, vastly	stark, kräftig, heftig
вновь	вновь	again, afresh, anew	erneut, von neuem; wieder, nochmals
впереди	впереди'	in front, ahead, before, in front of	vor; vorn, voran
пожалуйста	пожа'луйста	please; you are welcome; here you go	bitte, bitte sehr, bitte schön
нечего	не'чего	nothing	nichts
зато	зато'	but, but then, but on the other hand, for it, in return	dafür aber
весьма	весьма'	extremely / very, highly, greatly	sehr (äußerst), höchst; ziemlich, überaus
ибо	и'бо	for	denn, weil, da
правильно	пра'вильно	right, rightly; correctly, regularly; properly	richtig
интересно	интере'сно	it is interesting, interestingly	interessant, es ist interessant
невозможно	невозмо'жно	it is impossible, impossibly	unmöglich, es ist unmöglich, es ist nicht möglich
столь	столь	so	so, solch
причём	причём	Moreover, in addition, and, at that, with; How is that relevant	wobei, dabei
недавно	неда'вно	recently	vor kurzem, noch nicht lange; neulich, unlängst
обратно	обра'тно	back, backwards, conversely, inversely	zurück, zurück-, retour
неужели	неуже'ли	really, actually	tatsächlich; wirklich
осторожно	осторо'жно	carefully, cautiously, guardedly, warily, gingerly	vorsichtig, behutsam
ради	ра'ди	for the sake of	wegen, um, zu, für
слегка	слегка'	somewhat, slightly, gently	leicht, leise, ein wenig, ein bißchen, etwas, flüchtig, nebenbei, beiläufig
вскоре	вско'ре	soon, shortly after, before long	bald
вверх	вверх	up, upwards, upstream	nach oben, herauf-, hinauf-
семь	семь	seven, 7	sieben, 7
обязательно	обяза'тельно	necessarily, without fail	unbedingt, bestimmt; notwendig, unumgänglich
понятно	поня'тно	it is clear, naturally, of course, clearly, plainly, forcibly, perspicuously	verständlich; verstehbar (deutlich); klar, begreiflich
страшно	стра'шно	it is terrible, scary, terribly, awfully, frightfully	furchtbar; schrecklich; bange (Angst haben)
странно	стра'нно	it is strange, in a strange way, strangely	seltsam, sonderbar, merkwürdig
несмотря	несмотря'	despite, in spite of	trotz, ungeachtet
отсюда	отсю'да	from here, hence	von hier, daraus, hieraus
явно	я'вно	evidently, obviously, manifestly, patently	offenbar, offensichtlich; (deutlich) erkennbar, unverkennbar
оттуда	отту'да	from there	von dort, von da
наверно	наве'рно	probably, most likely, for sure, certainly, for a certainty	wohl, wahrscheinlich
немедленно	неме'дленно	immediately, at once	sofort, unverzüglich, auf der Stelle, umgehend
резко	ре'зко	sharply, drastically; abruptly, suddenly, quickly	abrupt, plötzlich; scharf, schroff, hart, krass
трое	тро'е	three of ...	drei
вдоль	вдоль	along	entlang, längs, der Länge nach
одновременно	одновре'менно	at the same time	gleichzeitig, zu gleicher Zeit; zugleich
естественно	есте'ственно	naturally, of course	natürlich; selbstverständlich
верно	ве'рно	rightly, correctly; probably, likely	richtig, wahr, (ist) sicher, stimmt; treu, ergeben
восемь	во'семь	eight, 8	acht, 8
наоборот	наоборо'т	inside out, back to front, the wrong way, on the contrary	umgekehrt, verkehrt, dagegen, im Gegenteil
гораздо	гора'здо	much, far, by far	viel; weitaus
громко	гро'мко	loud, aloud	laut, vollmundig
поздно	по'здно	it is late, late	spät
пятьдесят	пятьдеся'т	fifty	fünfzig
полностью	по'лностью	completely, utterly, in full	vollständig, völlig, ganz, restlos
вероятно	вероя'тно	very likely	wahrscheinlich, vermutlich, wohl
наиболее	наибо'лее	most	am meisten, höchst-
ой	ой	Oh	ups
внутри	внутри'	inside, within	innen, drinnen, innerhalb, in
тяжело	тяжело'	hardly	schwer, mühsam, jemand hat es schwer, es fällt jemandem schwer
постепенно	постепе'нно	gradually, little by little, by degrees	allmählich, nach und nach
собственно	со'бственно	actually; truely; honestly	eigentlich; an sich, an und für sich
насчёт	насчёт	as regards, concerning, about, of	bezüglich, deswegen, betreffend
внимательно	внима'тельно	attentively, carefully, intently	aufmerksam, konzentriert
вслед	вслед	following, after	hinterher
примерно	приме'рно	around; approximately, roughly	annähernd, etwa; musterhaft, vorbildlich; ungefähr
случайно	случа'йно	by chance, by accident, accidentally, by any chance	zufällig, zufälligerweise, durch Zufall, aus Versehen, versehentlich, übrigens
нечто	не'что	something	etwas
весело	ве'село	funny; happily, cheerfully	fröhlich; lustig
постоянно	постоя'нно	constantly, continually, always	ständig, dauernd, fortwährend, permanent
настолько	насто'лько	so, thus	so, soviel, soweit, so sehr; derart, dermaßen
прекрасно	прекра'сно	excellently, perfectly well	schön, wunderschön, herrlich, ausgezeichnet, sehr gut
сверху	све'рху	from above, from top, on top	von oben, oben, oberhalb, über
навстречу	навстре'чу	towards, approaching	entgegen, entgegen-
господи	го'споди	lord, oh my God	um Gottes Willen
далее	да'лее	further, later, then	weiter, ferner
полтора	полтора'	one and a half	anderthalb, eineinhalb
внизу	внизу'	below, underneath, downstairs, at the foot, at the bottom	unten, unterhalb
важно	ва'жно	it is important, with an air of importance, with a consequential air, grandly	wichtig, bedeutend
внезапно	внеза'пно	suddenly, all of a sudden	plötzlich, auf einmal, unerwartet, überraschend
напротив	напро'тив	opposite, on the contrary	gegenüber (von); dagegen, im Gegenteil; verkehrt, umgekehrt
зря	зря	to no purpose, for nothing	unnütz; vergebens, umsonst, vergeblich
жалко	жа'лко	pitifully	schade
практически	практи'чески	almost	praktisch
сзади	сза'ди	from behind, from the rear, behind	hinten, nach hinten, von hinten, hinter
честно	че'стно	honestly, fairly, frankly	ehrlich
итак	ита'к	thus, so	also (ergo), somit, nun, folglich
больно	бо'льно	it is painful, badly, hard, very, mighty, a bit too	krank, schmerzhaft
очевидно	очеви'дно	obviously, apparently, manifestly, evidently	offensichtlich, offenbar, augenscheinlich
рано	ра'но	it is early, it is too early, early	früh, zeitig, frühzeitig, vorzeitig
строго	стро'го	strictly, severely	streng, hart, genau, strickt
ниже	ни'же	lower, below	niedriger, kleiner, tiefer, unten, unter
наверняка	наверняка'	for sure	bestimmt, ganz sicher
приятно	прия'тно	it is pleasant, it is nice, pleasantly, agreeably	angenehm
серьёзно	серьёзно	seriously, earnestly, in earnest	ernst, ernstlich, im Ernst, in der Tat
вряд	вряд	unlikely	schwerlich, kaum
навсегда	навсегда'	for ever, for good	für immer; auf immer
тотчас	то'тчас	immediately, at once, instantly	sofort, sogleich; auf der Stelle
спустя	спустя'	after, later	nach; später
обо	обо	about (used only with first person prepositional case pronoun)	gegen; über
крепко	кре'пко	tightly	fest, stark
отчего	отчего'	why	weshalb, weswegen, warum, deswegen
никуда	никуда'	nowhere	nirgendwohin
абсолютно	абсолю'тно	absolutely, perfectly, utterly	absolut
нету	не'ту	there is no, there are no	ist nicht da, ist nicht vorhanden, hamwanich
решительно	реши'тельно	resolutely, decidedly, positively, absolutely	entschlossen, fest, entschieden, kategorisch
близко	бли'зко	near, close by, nearly	nah, unweit, nicht weit; in der Nähe, nicht weit von
окончательно	оконча'тельно	finally, once and for all	endgültig, abschliessend, letztendlich
редко	ре'дко	rarely	selten, wenig dicht, in einigem Abstand, mit weiten Zwischenräumen
темно	темно'	it is dark	es ist dunkel
слышно	слы'шно	one can hear, they say, it is said, it is rumoured, audibly	hörbar, vernehmbar
еле	е'ле	hardly, only just, scarcely, barely	kaum, nur mit Mühe
ох	ох	oh	oh
здорово	здо'рово	magnificently, splendidly, superbly, healthily, soundly, wholesomely, fine	toll, prima, ordentlich; gesund, bei bester Gesundheit; Tschau!, Hallo!, Servus! (ungezwungener Gruß)
буквально	буква'льно	literally, word for word	buchstäblich, wörtlich
кругом	круго'м	round, around, all round, entirely	ringsum; ganz und gar; Unmassen; Kehrt!, Das Ganze – kehrt!, Kehrt – marsch!
чисто	чи'сто	it is clean, cleanly, neatly, purely, merely	rein, sauber
полчаса	по'лчаса	half an hour	eine halbe Stunde
двенадцать	двена'дцать	twelve	zwölf
оттого	оттого'	that is why	deswegen; deshalb, darum
ровно	ро'вно	equally, sharp, exactly, smoothly, absolutely, regularly, evenly	gerade, gleichmaßig, glatt, genau, Punkt
мгновенно	мгнове'нно	instantly, in a trice, in a moment	augenblicklich; blitzschnell
глубоко	глубоко'	it is deep, deep, deeply, profoundly	tief, zutiefst
девять	де'вять	nine, 9	neun, 9
твёрдо	твёрдо	firmly, firm	hart; fest
насколько	наско'лько	how much, as far as, so far as; to what degree	soviel / soweit, sofern; inwiefern, inwieweit, umwieviel
заранее	зара'нее	beforehand, in good time	im Voraus (vorher, vorweg), von vornherein; frühzeitig, beizeiten
сперва	сперва'	at first, firstly	zuerst
широко	широко'	wide, widely, broadly	breit
изо	и'зо	from; out of	aus, von
таков	тако'в	such	so ein
специально	специа'льно	intentionally, on purpose; specially, especially	speziell, besonders; extra
благодаря	благодаря'	thanks to, owing to, because of	dank; durch / infolge
эй	эй	hey, hi	hey / he, hi, hei
позади	позади'	behind	hinter, hinten; vorbei
отлично	отли'чно	excellently	ausgezeichnet, fabelhaft, hervorragend
слева	сле'ва	to the left	(von) links, linker Hand
везде	везде'	everywhere	überall
тщательно	тща'тельно	carefully, thoroughly, closely	sorgfältig
путём	путём	by means of, by dint of, properly	durch, mittels, mit Hilfe von
боже	бо'же	my god; god	mein Gott
согласно	согла'сно	according to	gemäß (laut, zufolge); harmonisch, einträchtig
некогда	не'когда	there is no time, once, in former times, in the old days	einst, einmal, ehemals
неплохо	непло'хо	not bad, rather well, quite good	nicht schlecht, recht gut
радостно	ра'достно	With joy, happily	fröhlich; erfreut
заметно	заме'тно	it is noticeable, one can see, noticeably, appreciably	merklich, man merkt
немало	нема'ло	quite a lot, much, quite a few, many, quite a number of, a good many, a great deal	nicht wenig, recht viel
холодно	хо'лодно	it is cold, coldly	es ist kalt, kühl, kalt
ха	ха	ha	Ha
непонятно	непоня'тно	it is incomprehensible, it is impossible to understand, incomprehensibly	unverständlich
непременно	непреме'нно	without fail, certainly	unbedingt, bestimmt
высоко	высоко'	high, high up, it is high	hoch
нигде	нигде'	nowhere	nirgendwo, nirgends
мягко	мя'гко	softly, mildly, gently	weich
задумчиво	заду'мчиво	pensively	nachdenklich
коротко	ко'ротко	briefly, in brief, intimately; short	kurz, in knappen Worten
исключительно	исключи'тельно	exceptionally, exclusively, solely	ausschließlich; außergewöhnlich, außerordentlich, äußerst
вечно	ве'чно	forever	ewig, fortwährend; immerzu, dauernd
аккуратно	аккура'тно	neatly; carefully, regularly	ordentlich, akkurat, sorgfältig, regelmäßig
незаметно	незаме'тно	it does not show, it does not look as if, imperceptibly	unbemerkt, unmerklich
особо	осо'бо	really	besonders; speziell, extra
смешно	смешно'	funny, it is ridiculous, it makes one laugh, comically	lustig, lächerlich, komisch
каков	како'в	what	wie, was für, welcher
якобы	я'кобы	as if /as though / supposedly	angeblich, vorgeblich, scheinbar
увы	увы'	alas	leider, wider Erwarten
удивительно	удиви'тельно	wonderfully, astonishingly, surprisingly, very, extremely, admirably, marvellously	erstaunlich, außerordentlich, auffallend, äußerst
вслух	вслух	aloud	laut
значительно	значи'тельно	considerably, significantly	beträchtlich, bedeutend, wesentlich, beachtlich; erheblich; erwähnenswert, merklich
ужасно	ужа'сно	terribly, horribly, awfully, frightfully	schrecklich, fürchterlich
невольно	нево'льно	involuntarily, automatically, unintentionally, unwittingly	unwillkürlich, ungewollt
ныне	ны'не	now, at present	derzeit, heutzutage
вовремя	во'время	on time	pünktlich; rechtzeitig, zur rechten Zeit, zeitig
ярко	я'рко	brightly, strikingly, brilliantly, vividly	leuchtend, farbenfroh, markant, krass; hell, grell
посреди	посреди	in the middle	mitten; in der Mitte; mittig
снизу	сни'зу	from below, from bottom, below, on the initiative of the masses	von unten, unten
меж	меж	betwixt, between	zwischen; dazwischen
немножко	немно'жко	a little, a trifle, a bit	ein bisschen
де	де		wo; de, di
дважды	два'жды	twice	2 x (in Multiplikationsaufgaben); zweimal, zweifach
вне	вне	out of, outside	außer, außerhalb
ловко	ло'вко		geschickt; gewandt
русски	ру'сски		siehe по-ру'сски
др	др	birthday	uralt
нынче	ны'нче	nowadays	heutzutage, derzeit; heuer
относительно	относи'тельно	relatively, concerning, relative to, about	relativ / verhältnismäßig; bezüglich, in Bezug, hinsichtlich
крайне	кра'йне	extremely	äußerst, sehr, extrem
охотно	охо'тно	willingly, readily, gladly	gern, mit Vergnügen
внутрь	внутрь	inside, inwards, in	nach innen, hinein-, in
недалеко	недалеко'	it is not far, not far	nah, nicht weit
негромко	негро'мко	quietly, softly	leise
накануне	накану'не	the day before, on the eve	tags zuvor, am Tag zuvor, kurz vor
чрезвычайно	чрезвыча'йно	extraordinarily, extremely, utterly	außerordentlich, äußerst
замуж	за'муж	marry	heiraten (Frau heiratet einen Mann); verheiraten (von Seite der Frau aus)
срочно	сро'чно	quickly, urgently	eilig, unverzüglich; dringend
четверо	че'тверо	four	vier; zu viert
помимо	поми'мо	besides, apart from	außer, abgesehen von
грустно	гру'стно	it is sad, sadly, sorrowfully	traurig, es ist traurig
нормально	норма'льно	normally	normal
вежливо	ве'жливо	politely, courteously	höflich
неловко	нело'вко	embarrassing, uncomfortably, awkwardly	ungeschickt, peinlich
наверх	наве'рх	up, upward, upstairs, to the top	nach oben, hinauf-, herauf-
сидя	си'дя	sitting	sitzend, im Sitzen
шестьдесят	шестьдеся'т	sixty	sechzig
всерьёз	всерьёз	seriously, in earnest	ernst, ernstlich, im Ernst
впоследствии	впосле'дствии	afterwards, later, later on, subsequently	später, in der Folge
отнюдь	отню'дь	by no means, not at all	durchaus nicht, keineswegs, mitnichten
неподалёку	неподалёку	not far away	unweit, nicht weit, in der Nähe
ласково	ла'сково	affectionately; sweetly	zärtlich, sanft, liebevoll
сердито	серди'то	angrily	böse, zornig, streng
вдвоём	вдвоём	two	zu zweit
триста	три'ста	three hundred	dreihundert
поначалу	понача'лу	at first, firstly, in the beginning	anfangs
отчетливо	отче'тливо	clearly, vividly	deutlich, klar, scharf
прочь	прочь	away, off	weg, hin, hinweg
тихонько	тихо'нько	quietly, softly, gently, slowly, on the sly	leise
некуда	не'куда	nowhere	nirgends, nirgendwohin
поспешно	поспе'шно	in a hurry, hurriedly, hastily	eilig, in Eile
напрасно	напра'сно	in vain, for nothing, uselessly, to no purpose	vergeblich, umsonst; nutzlos, unnütz
стоя	сто'я	upright	im Stehen
красиво	краси'во	beautifully	schön, hübsch
несомненно	несомне'нно	undoubtedly, doubtless, beyond all question, without question	zweifellos, ganz bestimmt, sicherlich
изредка	и'зредка	now and then, from time to time, occasionally	dann und wann, hin und wieder, zuweilen
включая	включа'я	including, included	inklusive
ранее	ра'нее	before	früher
ай	ай		Ui
глупо	глу'по	it is foolish, it is stupid, it is silly, foolishly, stupidly	dumm
небось	небо'сь	most likely	wahrscheinlich, vielleicht, keine Angst, wohl
испуганно	испу'ганно	scared, startled, terrified	erschrocken
жарко	жа'рко	it is hot, hotly	es ist heiß
уверенно	уве'ренно	confidently, with confidence	sicher, überzeugt
чётко	чётко	clearly, accurately	deutlich, scharf, klar
удивленно	удивленно	surprisingly, astonishingly	überrascht
надолго	надо'лго	for a long time	für lange
скучно	ску'чно	boringly, tediously	langweilig, es ist langweilig
фактически	факти'чески	practically, actually, in fact, virtually	siehe фактический
передо	пе'редо		vor
следовательно	сле'довательно	consequently, therefore, hence	folglich; somit  (also / demnach / infolgedessen)
искренне	и'скренне	sincerely	aufrichtig, innig
издали	и'здали	from a distance	von weitem, aus der Ferne
мысленно	мы'сленно	mentally	mental; begrifflich
дескать	де'скать	they say	angeblich (zur Distanzierung bei der Wiedergabe fremder Rede); also (als Füllwort)
нередко	нере'дко	not infrequently, quite often	nicht selten, ziemlich oft
